segments		00:00:04.300	4.3	00:00:05.310	5.31	00:00:01.010	1.01	swipe_right
segments		00:00:07.930	7.93	00:00:08.787	8.787	00:00:00.857	0.857	swipe_right
segments		00:00:11.741	11.741	00:00:12.542	12.542	00:00:00.801	0.801	swipe_right
segments		00:00:14.992	14.992	00:00:15.806	15.806	00:00:00.814	0.814	swipe_right
segments		00:00:19.116	19.116	00:00:19.581	19.581	00:00:00.465	0.465	swipe_right
segments		00:00:22.494	22.494	00:00:23.421	23.421	00:00:00.927	0.927	swipe_right
segments		00:00:29.667	29.667	00:00:30.199	30.199	00:00:00.532	0.532	swipe_right
segments		00:00:32.567	32.567	00:00:33.270	33.27	00:00:00.703	0.703	swipe_right
segments		00:00:35.127	35.127	00:00:35.942	35.942	00:00:00.815	0.815	swipe_right
segments		00:00:37.699	37.699	00:00:38.578	38.578	00:00:00.879	0.879	swipe_right
segments		00:00:44.112	44.112	00:00:44.922	44.922	00:00:00.810	0.81	swipe_left
segments		00:00:47.612	47.612	00:00:48.363	48.363	00:00:00.751	0.751	swipe_left
segments		00:00:49.834	49.834	00:00:51.234	51.234	00:00:01.400	1.4	swipe_left
segments		00:00:53.432	53.432	00:00:54.324	54.324	00:00:00.892	0.892	swipe_left
segments		00:00:56.552	56.552	00:00:56.993	56.993	00:00:00.441	0.441	swipe_left
segments		00:01:00.073	60.073	00:01:00.538	60.538	00:00:00.465	0.465	swipe_left
segments		00:01:02.758	62.758	00:01:03.558	63.558	00:00:00.800	0.8	swipe_left
segments		00:01:06.083	66.083	00:01:06.823	66.823	00:00:00.740	0.74	swipe_left
segments		00:01:09.425	69.425	00:01:09.852	69.852	00:00:00.427	0.427	swipe_left
segments		00:01:11.815	71.815	00:01:12.626	72.626	00:00:00.811	0.811	swipe_left
segments		00:01:16.848	76.848	00:01:17.682	77.682	00:00:00.834	0.834	rotate
segments		00:01:20.087	80.087	00:01:20.978	80.978	00:00:00.891	0.891	rotate
segments		00:01:24.099	84.099	00:01:25.271	85.271	00:00:01.172	1.172	rotate
segments		00:01:28.002	88.002	00:01:29.305	89.305	00:00:01.303	1.303	rotate
segments		00:01:31.091	91.091	00:01:31.931	91.931	00:00:00.840	0.84	rotate
segments		00:01:33.722	93.722	00:01:35.027	95.027	00:00:01.305	1.305	rotate
segments		00:01:36.744	96.744	00:01:37.738	97.738	00:00:00.994	0.994	rotate
segments		00:01:41.101	101.101	00:01:42.094	102.094	00:00:00.993	0.993	rotate
segments		00:01:44.818	104.818	00:01:45.579	105.579	00:00:00.761	0.761	rotate
segments		00:01:50.288	110.288	00:01:51.429	111.429	00:00:01.141	1.141	rotate
segments		00:01:53.335	113.335	00:01:54.470	114.47	00:00:01.135	1.135	rotate
segments		00:01:56.771	116.771	00:01:58.066	118.066	00:00:01.295	1.295	rotate
segments		00:02:00.350	120.35	00:02:01.509	121.509	00:00:01.159	1.159	rotate
segments		00:02:03.528	123.528	00:02:04.760	124.76	00:00:01.232	1.232	rotate
segments		00:02:06.590	126.59	00:02:07.574	127.574	00:00:00.984	0.984	rotate
segments		00:02:09.878	129.878	00:02:10.858	130.858	00:00:00.980	0.98	rotate
segments		00:02:13.854	133.854	00:02:15.224	135.224	00:00:01.370	1.37	rotate
segments		00:02:18.741	138.741	00:02:19.978	139.978	00:00:01.237	1.237	swipe_left
segments		00:02:21.856	141.856	00:02:22.565	142.565	00:00:00.709	0.709	swipe_left
segments		00:02:24.301	144.301	00:02:25.145	145.145	00:00:00.844	0.844	swipe_left
segments		00:02:28.151	148.151	00:02:28.878	148.878	00:00:00.727	0.727	swipe_right
segments		00:02:30.368	150.368	00:02:31.138	151.138	00:00:00.770	0.77	swipe_right
segments		00:02:32.432	152.432	00:02:33.144	153.144	00:00:00.712	0.712	swipe_right
